Physical Time (s),enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv1,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv2,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv3,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv4,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv5,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv6,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv7
0.2675,6.5331270271423838e-08,5.5404111527305965e-08,3.7781660472457771e-08,3.1248452498539831e-08,3.0985515737902802e-08,3.2295924390726428e-08,2.6958474830178783e-08
0.27,7.6118942419532318e-08,6.2866316749413389e-08,3.7242537072083939e-08,2.5468856420343209e-08,2.2959993828145935e-08,2.3583517080281762e-08,1.9847528152949873e-08
0.2725,8.2544640506287375e-08,6.816108134584297e-08,3.8707375670576047e-08,2.3564878758075288e-08,1.9290225470364948e-08,1.9229261615252552e-08,1.7026070423250881e-08
0.275,8.4733196915600018e-08,7.1180457354753554e-08,4.1830896168575173e-08,2.527445742116675e-08,1.982855534134668e-08,1.9143562748737095e-08,1.8207969413494188e-08
0.2775,8.3112188888302408e-08,7.1992920712031211e-08,4.6182074416163367e-08,3.0115673630124533e-08,2.4186271572375393e-08,2.3016832775516489e-08,2.3037981758884533e-08
0.28,7.8574889506157357e-08,7.1105723983181929e-08,5.1597427966654456e-08,3.7630153446382842e-08,3.1843960240790639e-08,3.0333802571253309e-08,3.1033023695808788e-08
0.2825,7.1423284699940939e-08,6.8367871651179861e-08,5.7173118193936534e-08,4.6700374076487665e-08,4.1711112823070436e-08,4.0116150150467484e-08,4.126469309184734e-08
0.285,6.2208101791574292e-08,6.4032422066420879e-08,6.2580128386338698e-08,5.6697836275739615e-08,5.3057881550362982e-08,5.163143544197985e-08,5.3035222724772982e-08
0.2875,5.1296699480260613e-08,5.7970132152895758e-08,6.6628470910853416e-08,6.5974724030610154e-08,6.4144656898847825e-08,6.3223361961692934e-08,6.4733104603674659e-08
0.29,3.9278300040834921e-08,5.0472607337615933e-08,6.885591253906846e-08,7.3603283748349051e-08,7.3869439369402161e-08,7.375390038966751e-08,7.5247249014006512e-08
0.2925,2.7021851132726742e-08,4.2085786167816704e-08,6.8963118898470331e-08,7.8717318941383145e-08,8.1126515949203752e-08,8.2044123264113978e-08,8.3440973487648614e-08
0.295,1.4978938625744135e-08,3.3175822878923296e-08,6.7066224368429625e-08,8.1156037672153867e-08,8.5582573291003244e-08,8.7630190411224754e-08,8.8869549320542208e-08
0.2975,3.2787961239231245e-09,2.3841681741995634e-08,6.3173538124172289e-08,8.079317247408478e-08,8.6993313156619701e-08,9.0163267705347695e-08,9.1210610832125164e-08
0.3,-8.3701159293466132e-09,1.3876781660558608e-08,5.7190442760400806e-08,7.7547876569876793e-08,8.5232618029066568e-08,8.945056151460246e-08,9.0293732621637713e-08
0.3025,-1.9424978784181733e-08,3.9406896389805744e-09,4.9789092649628835e-08,7.1982007114773852e-08,8.07559437325047e-08,8.5852804408734013e-08,8.6504740992678452e-08
0.305,-2.931103821489823e-08,-5.1950228282748484e-09,4.1971357322846195e-08,6.5074816013944452e-08,7.4477941051703246e-08,8.0195125490777786e-08,8.0659976318040822e-08
0.3075,-3.8136824922286871e-08,-1.3489550774789807e-08,3.4122613317039396e-08,5.731755928690907e-08,6.690122192369183e-08,7.2925987304170491e-08,7.3168734647674981e-08
0.31,-4.5525400709267996e-08,-2.0529131582468629e-08,2.6824054621212647e-08,4.9370129751512198e-08,5.8672512205440194e-08,6.4619611516573986e-08,6.4554070312069132e-08
0.3125,-5.125715143155506e-08,-2.6004460532720448e-08,2.0664669761888001e-08,4.1989619141664892e-08,5.0580819927689119e-08,5.6020933442268914e-08,5.550874589407439e-08
0.315,-5.5618128017400528e-08,-3.0066434688537352e-08,1.5866643007281732e-08,3.5627849984422454e-08,4.3151024570675963e-08,4.7646678589125033e-08,4.6512037021710561e-08
0.3175,-5.8575698695540017e-08,-3.2648276572650598e-08,1.2698683944380328e-08,3.0771552234604359e-08,3.6980695137964095e-08,4.0134248197562369e-08,3.8204394744093525e-08
0.32,-6.0247793008426007e-08,-3.3851799419096606e-08,1.1199758401962863e-08,2.76862128014908e-08,3.2494317612345758e-08,3.4037550413503577e-08,3.1197714289807976e-08
0.3225,-6.07578537652491e-08,-3.3826289101467166e-08,1.1167184135128082e-08,2.6167522413726691e-08,2.9535124468656017e-08,2.9262011568578133e-08,2.5460529972805714e-08
0.325,-5.9911103330599238e-08,-3.2530973316953743e-08,1.2407641948221008e-08,2.6003817030332713e-08,2.7952362859832688e-08,2.5773818376336095e-08,2.1055645004811712e-08
0.3275,-5.7427290161174946e-08,-2.9860008938770123e-08,1.4728369525731446e-08,2.6924987612221101e-08,2.7502988383534885e-08,2.3443291598502092e-08,1.7954692888267413e-08
0.33,-5.3009185439669469e-08,-2.569328881788476e-08,1.7894728001500885e-08,2.856931259188773e-08,2.7823137793430751e-08,2.2001945347171832e-08,1.5980971211131403e-08
0.3325,-4.6413990845365336e-08,-1.9968270015028906e-08,2.1566038543893171e-08,3.0431051592949608e-08,2.8386104554866624e-08,2.0998470506317092e-08,1.4756728670752332e-08
0.335,-3.7077199829754212e-08,-1.2385443265540816e-08,2.5475765831257313e-08,3.1960912015081993e-08,2.855502680044076e-08,1.9812245073639322e-08,1.3744345499299934e-08
0.3375,-2.5207692887337357e-08,-3.2363069209508837e-09,2.916934771758201e-08,3.2680785303055505e-08,2.7905505628666996e-08,1.8151848535247174e-08,1.2715614183006076e-08
0.34,-1.1543791382624001e-08,6.9513455808728163e-09,3.2452004359231841e-08,3.2566055324561277e-08,2.6500707479286165e-08,1.6192319839814337e-08,1.1797290175076852e-08
0.3425,3.5288945767143612e-09,1.7946937708191255e-08,3.5340470450058749e-08,3.1732529732642024e-08,2.451083488815024e-08,1.4153746882530143e-08,1.1154918742842981e-08
