Physical Time (s),massspec_vol Monitor (N): cv1,massspec_vol Monitor (N): cv2,massspec_vol Monitor (N): cv3,massspec_vol Monitor (N): cv4,massspec_vol Monitor (N): cv5,massspec_vol Monitor (N): cv6,massspec_vol Monitor (N): cv7
0.285,1.231739869780574e-11,1.7039188031149001e-11,1.9076705739708846e-11,1.9080572685198535e-11,1.9079876640309752e-11,1.9083675502649569e-11,1.9093779033467019e-11
0.2875,1.2257005719780102e-11,1.6890850377653376e-11,1.9016431103697789e-11,1.9015856345783482e-11,1.9018189012064588e-11,1.9014514301237652e-11,1.9023096420898647e-11
0.29,1.2204897765427659e-11,1.6749981429376375e-11,1.8957317458115788e-11,1.8958926987623267e-11,1.8960943097702128e-11,1.8960185849387977e-11,1.8957054060078287e-11
0.2925,1.2140046735614459e-11,1.6600572247579038e-11,1.8894836319450473e-11,1.8895545369967283e-11,1.8896333654588774e-11,1.8894037859905066e-11,1.8893447144773983e-11
0.295,1.2100197763721098e-11,1.6475596640512281e-11,1.8855287822818026e-11,1.8850046311156753e-11,1.8851575718504492e-11,1.8856147997025545e-11,1.886921043273032e-11
0.2975,1.203870117558251e-11,1.6328276075713176e-11,1.8789777863101416e-11,1.8790062156679092e-11,1.8791198958282368e-11,1.8790089504917198e-11,1.8776882017700135e-11
0.3,1.198789964794871e-11,1.6197694540351389e-11,1.8740977925083845e-11,1.8741758834470909e-11,1.8742258319785611e-11,1.874839480789678e-11,1.8741821750158587e-11
0.3025,1.1922583259720528e-11,1.60525236366889e-11,1.8677642896578859e-11,1.8674405353165743e-11,1.8674102091571616e-11,1.8678548943171958e-11,1.8679307239165588e-11
0.305,1.186317553731653e-11,1.5917150567614271e-11,1.8617163330883981e-11,1.8614817597032767e-11,1.8614575138813384e-11,1.8611088547431324e-11,1.8606686943841553e-11
0.3075,1.1807317362279957e-11,1.5785373676854933e-11,1.8564451516800038e-11,1.8562778808163607e-11,1.8557271645658771e-11,1.8560277369979793e-11,1.8563163918374941e-11
0.31,1.174587457323776e-11,1.5652954621148389e-11,1.8508302690770266e-11,1.8509409536529547e-11,1.8509130607394398e-11,1.8505318830838367e-11,1.8513339180287641e-11
0.3125,1.1685769452610536e-11,1.5523162656170984e-11,1.8448730973098053e-11,1.8450646145353495e-11,1.8451362783579043e-11,1.8454435710715847e-11,1.8441897074414398e-11
