Physical Time (s),aphi_alt_flux_left Monitor (kg-m/s^3)
1.6925,-2.1381422812314781e-08
1.695,-2.155976199311789e-08
1.6975,-2.1739531107910781e-08
1.7,-2.1920300670679229e-08
1.7025,-2.2095947046018851e-08
1.705,-2.226940811598537e-08
1.7075,-2.2443395588408531e-08
1.71,-2.2614687754621663e-08
1.7125,-2.2780110847294943e-08
1.715,-2.2945265018958609e-08
1.7175,-2.3104483010102891e-08
1.72,-2.3258156116127501e-08
1.7225,-2.3414545132991358e-08
1.725,-2.3567698456616062e-08
1.7275,-2.3717389700994973e-08
1.73,-2.3863530934790143e-08
1.7325,-2.4006158039505902e-08
1.735,-2.4145149951614907e-08
1.7375,-2.4284025443307583e-08
1.74,-2.4422865757637884e-08
1.7425,-2.4555352170139978e-08
1.745,-2.4684445810282809e-08
1.7475,-2.4812979876325625e-08
1.75,-2.4938807310058548e-08
1.7525,-2.5061300186605214e-08
1.755,-2.5178039617852617e-08
1.7575,-2.5297064236572383e-08
1.76,-2.5409760476969987e-08
1.7625,-2.5521267056220508e-08
1.765,-2.562653977095038e-08
1.7675,-2.5730955641088767e-08
1.77,-2.5828593455464007e-08
1.7725,-2.5925347913717128e-08
1.775,-2.6020783081791717e-08
1.7775,-2.6108926942722857e-08
1.78,-2.6192542381053439e-08
1.7825,-2.6271770960272416e-08
1.785,-2.6349129536190442e-08
1.7875,-2.6421146635741143e-08
1.79,-2.6485178868649439e-08
1.7925,-2.6543583502442513e-08
1.795,-2.6599001042146284e-08
1.7975,-2.6650740140317087e-08
1.8,-2.6690391833930775e-08
1.8025,-2.6724572204309481e-08
1.805,-2.6754434734342978e-08
1.8075,-2.6777775487427446e-08
1.81,-2.679384876150619e-08
1.8125,-2.6803041020327184e-08
1.815,-2.6802402042071693e-08
1.8175,-2.6795265126654366e-08
1.82,-2.6780750889453181e-08
1.8225,-2.6761867725548222e-08
1.825,-2.6729990616017968e-08
1.8275,-2.6693100367632037e-08
1.83,-2.6642793706118792e-08
1.8325,-2.6590878183461907e-08
1.835,-2.6525740629269838e-08
1.8375,-2.6456468286212319e-08
1.84,-2.638299598327203e-08
1.8425,-2.6293567661933959e-08
1.845,-2.6197588670097454e-08
1.8475,-2.6094625552176787e-08
1.85,-2.5985136124429029e-08
1.8525,-2.5868992767521222e-08
1.855,-2.5743999449526501e-08
1.8575,-2.5618462919247075e-08
1.86,-2.5481736153679393e-08
1.8625,-2.5336762444638584e-08
1.865,-2.5189825604109456e-08
1.8675,-2.5038049377726062e-08
1.87,-2.4878931322069172e-08
1.8725,-2.4718883080873386e-08
1.875,-2.4555152068525044e-08
1.8775,-2.4388165375404595e-08
1.88,-2.4217762611510125e-08
1.8825,-2.4041855666826021e-08
1.885,-2.3866332829300422e-08
1.8875,-2.3688401068554541e-08
1.89,-2.3505123784999587e-08
1.8925,-2.3320219093336513e-08
1.895,-2.3133611267104619e-08
1.8975,-2.2948773207566476e-08
1.9,-2.2762904003916769e-08
1.9025,-2.2575492905083695e-08
1.905,-2.2384820511894714e-08
1.9075,-2.2196750173748629e-08
1.91,-2.2007712144999449e-08
1.9125,-2.1817943694520611e-08
1.915,-2.1628101901160155e-08
1.9175,-2.1441658444057894e-08
1.92,-2.1254439626279026e-08
1.9225,-2.1067353806007144e-08
1.925,-2.088040870073123e-08
1.9275,-2.0699429750904475e-08
1.93,-2.0515520870744082e-08
1.9325,-2.0329618351977323e-08
1.935,-2.0143721574202112e-08
1.9375,-1.9958950748661271e-08
1.94,-1.9773585900561511e-08
1.9425,-1.9591899037911387e-08
1.945,-1.941053772508551e-08
1.9475,-1.92293562098941e-08
1.95,-1.9048565784856978e-08
1.9525,-1.886884815363737e-08
1.955,-1.8688498308968094e-08
1.9575,-1.8505649107959237e-08
1.96,-1.8326211893695118e-08
1.9625,-1.8146911831207409e-08
1.965,-1.7970066681163497e-08
1.9675,-1.7779445168315303e-08
1.97,-1.7600655727576545e-08
1.9725,-1.7424272363102896e-08
1.975,-1.7248005651261208e-08
1.9775,-1.7069433928549613e-08
