Physical Time (s),anabla_vol Monitor (kg-m/s^3): cv1,anabla_vol Monitor (kg-m/s^3): cv2,anabla_vol Monitor (kg-m/s^3): cv3,anabla_vol Monitor (kg-m/s^3): cv4,anabla_vol Monitor (kg-m/s^3): cv5,anabla_vol Monitor (kg-m/s^3): cv6,anabla_vol Monitor (kg-m/s^3): cv7
0.31,9.3712572009774505e-09,1.1771282785635315e-08,1.2438603002286644e-08,1.2438630608427888e-08,1.2438630726267828e-08,1.2438630750400888e-08,1.2438630752020518e-08
0.3125,9.304843569122305e-09,1.1676803217604638e-08,1.2368346020812243e-08,1.23683773878922e-08,1.2368377508544819e-08,1.2368377533074051e-08,1.2368377534710331e-08
0.315,9.2389553029835394e-09,1.158246069810268e-08,1.2298591368656689e-08,1.2298627053907926e-08,1.2298627177490667e-08,1.2298627202425537e-08,1.2298627204078737e-08
0.3175,9.1744968827599988e-09,1.1489269964345084e-08,1.2230253369307213e-08,1.223029398922033e-08,1.2230294115859089e-08,1.2230294141210587e-08,1.2230294142880613e-08
0.32,9.1130206233552728e-09,1.1398915249237217e-08,1.2164895712501809e-08,1.2164941893756315e-08,1.216494202358662e-08,1.2164942049370124e-08,1.2164942051057563e-08
0.3225,9.0520606930793571e-09,1.1309025721897574e-08,1.2100044963602301e-08,1.2100097486936143e-08,1.2100097620089751e-08,1.210009764631687e-08,1.2100097648021872e-08
0.325,8.9914539050399056e-09,1.1219546481999125e-08,1.2035537363694351e-08,1.2035597144970418e-08,1.2035597281582274e-08,1.2035597308263749e-08,1.2035597309986527e-08
0.3275,8.9311966527013267e-09,1.1130584750904436e-08,1.1971368651624099e-08,1.1971436748979045e-08,1.1971436889189127e-08,1.197143691633533e-08,1.1971436918076231e-08
0.33,8.8712602189231105e-09,1.1042222056964326e-08,1.1907507976013099e-08,1.1907585609956676e-08,1.1907585753910105e-08,1.1907585781531051e-08,1.1907585783290601e-08
0.3325,8.8115558824410786e-09,1.0954476402335445e-08,1.1843863194154352e-08,1.1843951778562659e-08,1.1843951926409865e-08,1.184395195451506e-08,1.1843951956293925e-08
0.335,8.7495975801135504e-09,1.086493396406164e-08,1.1777932327405006e-08,1.1778033768224545e-08,1.1778033920112575e-08,1.1778033948706086e-08,1.1778033950504977e-08
0.3375,8.6858180870709146e-09,1.0774137768285341e-08,1.1710145194892036e-08,1.1710261777458022e-08,1.1710261933541636e-08,1.1710261962627624e-08,1.171026196444737e-08
0.34,8.6224001556264366e-09,1.0684375248489172e-08,1.1642687948457971e-08,1.1642822146431128e-08,1.1642822306883446e-08,1.164282233647021e-08,1.164282233831176e-08
0.3425,8.5593285106250237e-09,1.0595716642248339e-08,1.1575539513309878e-08,1.1575694167781645e-08,1.1575694332784489e-08,1.1575694362880838e-08,1.1575694364744954e-08
0.345,8.4974896741735573e-09,1.0509125701222666e-08,1.1509584069959687e-08,1.1509762308226725e-08,1.1509762477971296e-08,1.1509762508585985e-08,1.1509762510471928e-08
0.3475,8.4391547812236321e-09,1.0426965700873091e-08,1.144709955994718e-08,1.1447304320547429e-08,1.1447304495236867e-08,1.1447304526383736e-08,1.1447304528290921e-08
0.35,8.3812574691476803e-09,1.0346198285212175e-08,1.1384997401428564e-08,1.138523253878759e-08,1.1385232718621037e-08,1.1385232750309693e-08,1.1385232752238015e-08
0.3525,8.3235740466311693e-09,1.0266634259855621e-08,1.1323045204702161e-08,1.132331530928474e-08,1.1323315494468745e-08,1.1323315526707698e-08,1.1323315528657179e-08
0.355,8.2660811560089192e-09,1.01882790274464e-08,1.1261213214566986e-08,1.1261523629917767e-08,1.1261523820668288e-08,1.1261523853465678e-08,1.1261523855436313e-08
0.3575,8.2087696751188128e-09,1.0111143489595585e-08,1.1199486171017066e-08,1.1199843081641028e-08,1.119984327818471e-08,1.1199843311548544e-08,1.119984331354039e-08
0.36,8.1516362138767412e-09,1.0035235093508736e-08,1.1137854696337281e-08,1.113826524841957e-08,1.1138265450993928e-08,1.1138265484932252e-08,1.1138265486945472e-08
0.3625,8.0946790273364607e-09,9.9605540934394907e-09,1.1076311303334588e-08,1.107678375323114e-08,1.1076783962085797e-08,1.1076783996606537e-08,1.1076783998641451e-08
