Physical Time (s),aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv1,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv2,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv3,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv4,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv5,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv6,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv7
0.2725,1.1714172612834057e-09,1.0260658248480594e-09,9.0285173348713837e-10,6.879713867065337e-10,5.6418597424463154e-10,5.0345662317848739e-10,4.9030560050047982e-10
0.275,1.1778125413660683e-09,1.0282794245994995e-09,9.031357982543825e-10,6.8750792567409667e-10,5.6179499879298645e-10,4.996655368962504e-10,4.8729192306332418e-10
0.2775,1.1842607017489247e-09,1.030410400138119e-09,9.0327069795224113e-10,6.8691435498115509e-10,5.5926277762860994e-10,4.9560270510909869e-10,4.8353660787657563e-10
0.28,1.191551663096834e-09,1.0332838991062425e-09,9.041118528052335e-10,6.8720411856965688e-10,5.5778971802114656e-10,4.9272273558018512e-10,4.8063732442094202e-10
0.2825,1.200183100691132e-09,1.0375146072384864e-09,9.0630480925571383e-10,6.891153903238642e-10,5.5822671376528435e-10,4.9205446522899793e-10,4.797724164688183e-10
0.285,1.2104896442039284e-09,1.0434643624431987e-09,9.1020644384564845e-10,6.930361430165092e-10,5.6100458514936812e-10,4.9412673979305821e-10,4.8159920718480325e-10
0.2875,1.2224264215396491e-09,1.0511796877707403e-09,9.1587547282072862e-10,6.9900821136181488e-10,5.66129254976388e-10,4.9894372793817002e-10,4.8622809639896485e-10
0.29,1.2357233167905463e-09,1.0604222146941506e-09,9.2306387949913648e-10,7.0673171609836876e-10,5.7320652281105971e-10,5.0601735027037045e-10,4.9323925476494322e-10
0.2925,1.2498346110162229e-09,1.0706763105125384e-09,9.3123188992087474e-10,7.1559213914701572e-10,5.8149591909388385e-10,5.1444640455396832e-10,5.0174676824028412e-10
0.295,1.2641529462438274e-09,1.081305653726395e-09,9.3970540164801224e-10,7.2483110275561894e-10,5.9010903489911652e-10,5.2315663452198606e-10,5.1064135270288557e-10
0.2975,1.2779916124990013e-09,1.0915624660111454e-09,9.4772796996000628e-10,7.3362660379538985e-10,5.9811479043110601e-10,5.3104649078952417e-10,5.1874785333318686e-10
0.3,1.2907747670666166e-09,1.1007630198769449e-09,9.5456097427490998e-10,7.411454130339318e-10,6.0456853448838807e-10,5.3701113169241283e-10,5.2485869921772814e-10
0.3025,1.3018440855744602e-09,1.1082024288176498e-09,9.5949481645174107e-10,7.4662404312594372e-10,6.0863568476991453e-10,5.4011245167318751e-10,5.2793039259850956e-10
0.305,1.3107392945922585e-09,1.1133606468645311e-09,9.6197811237294138e-10,7.4946875592427077e-10,6.0967900231969258e-10,5.39663912374222e-10,5.2718231502352647e-10
0.3075,1.3172967568689632e-09,1.1160279155808587e-09,9.6176854772846095e-10,7.4943201600536353e-10,6.0744566600087906e-10,5.3541770017752567e-10,5.2229601969038567e-10
0.31,1.3215627929349193e-09,1.1162273148932103e-09,9.5888322297583434e-10,7.4657731790935143e-10,6.020600467100012e-10,5.2757165034197485e-10,5.1343917012010793e-10
0.3125,1.3238150430798754e-09,1.1142104002374887e-09,9.5354926823786659e-10,7.4117047095796051e-10,5.9387828578629073e-10,5.1659589431598023e-10,5.0109665611585553e-10
0.315,1.3243978342900909e-09,1.1103039517849189e-09,9.4607051466983576e-10,7.3355774413982872e-10,5.8335103107538938e-10,5.0308396809728709e-10,4.8592381495988737e-10
0.3175,1.3236750372672384e-09,1.1048781865367228e-09,9.3679824412367147e-10,7.241170117992356e-10,5.7094932094827484e-10,4.8765347913416716e-10,4.6863842890836414e-10
0.32,1.3219773502608183e-09,1.0983153744308162e-09,9.2611461694076093e-10,7.1325599165412868e-10,5.5715368049405641e-10,4.7091745162814216e-10,4.4997445426358989e-10
0.3225,1.3196502677188185e-09,1.0909573834449393e-09,9.143449351737517e-10,7.0131912476168404e-10,5.4235449507725666e-10,4.5337039091504657e-10,4.3055488441191085e-10
0.325,1.3169953307375978e-09,1.0831392364839881e-09,9.0182084650769697e-10,6.8865671841109321e-10,5.2692969437220336e-10,4.3546561984247863e-10,4.1095427184911264e-10
0.3275,1.3142733407620013e-09,1.0751632840592019e-09,8.8884323664092103e-10,6.7558128339479139e-10,5.1120448680426029e-10,4.1757182363835535e-10,3.9164439531774276e-10
0.33,1.3116377940976105e-09,1.0672380744919332e-09,8.7565225016518338e-10,6.6236042173454924e-10,4.9545611632750848e-10,3.9998777017547538e-10,3.7300712597623479e-10
0.3325,1.3092396537907247e-09,1.0595586928773854e-09,8.6244344725896047e-10,6.491966845715798e-10,4.7988253612477292e-10,3.8289083235228854e-10,3.5526375479794268e-10
0.335,1.3071797710862203e-09,1.0522725086618229e-09,8.4939270788161772e-10,6.3629951069817368e-10,4.6469835469534304e-10,3.6647186863020135e-10,3.386316300392942e-10
0.3375,1.3055743705014362e-09,1.0456066401300679e-09,8.3676898860067784e-10,6.2396424906883782e-10,4.502042184545784e-10,3.5099307652934466e-10,3.2335626948063908e-10
0.34,1.3044802531328791e-09,1.039671368764366e-09,8.2472957766434418e-10,6.1236564034066714e-10,4.3657352859272939e-10,3.3656571128888897e-10,3.0948046449005944e-10
0.3425,1.3039961057937881e-09,1.0346181670250009e-09,8.1347339569739929e-10,6.0172914321471249e-10,4.2403591739396783e-10,3.2335224265769789e-10,2.9706657432316518e-10
0.345,1.3042601238891711e-09,1.0305941031463592e-09,8.0315495569130918e-10,5.9221666316620591e-10,4.1275232706946296e-10,3.11443269755059e-10,2.8608598728458372e-10
0.3475,1.3054054207081069e-09,1.0278064985271535e-09,7.9400369851169382e-10,5.840646513040863e-10,4.0297074290899372e-10,3.0103592328779142e-10,2.7662366622677131e-10
