Physical Time (s),lift Monitor (N)
1.9825,3.9971157830003082e-05
1.985,3.7412648282476753e-05
1.9875,3.471015263277284e-05
1.99,3.1871672219686138e-05
1.9925,2.8914312283159761e-05
1.995,2.5853742469371725e-05
1.9975,2.2698342142953399e-05
2.0,1.9449239109042678e-05
2.0025,1.6113648149381401e-05
2.005,1.2701654434177023e-05
2.0075,9.2246325867066855e-06
2.01,5.6929594142253429e-06
2.0125,2.121193497432914e-06
2.015,-1.4888531483693747e-06
2.0175,-5.110274295890205e-06
2.02,-8.735984010346711e-06
2.0225,-1.2350092065745176e-05
2.025,-1.5932173675728627e-05
2.0275,-1.9473238724664956e-05
2.03,-2.2968511999345232e-05
2.0325,-2.6409521321447149e-05
2.035,-2.9780851935631808e-05
2.0375,-3.3065524928049964e-05
2.04,-3.6251854552830607e-05
2.0425,-3.9330035883854784e-05
2.045,-4.2287968246663988e-05
2.0475,-4.5114476709002394e-05
2.05,-4.7796975715664624e-05
2.0525,-5.0325259271861566e-05
