Physical Time (s),FreestreamDynamicViscosity Monitor (Pa-s)
1.8575,1.8459666102609479e-05
1.86,1.8459666102609482e-05
1.8625,1.8459666102609489e-05
1.865,1.8459666102609492e-05
1.8675,1.8459666102609496e-05
1.87,1.8459666102609499e-05
1.8725,1.8459666102609503e-05
1.875,1.8459666102609506e-05
1.8775,1.8459666102609509e-05
1.88,1.8459666102609506e-05
1.8825,1.8459666102609513e-05
1.885,1.8459666102609513e-05
1.8875,1.8459666102609523e-05
1.89,1.8459666102609526e-05
1.8925,1.845966610260953e-05
1.895,1.845966610260954e-05
1.8975,1.8459666102609543e-05
1.9,1.8459666102609547e-05
1.9025,1.8459666102609547e-05
1.905,1.8459666102609553e-05
1.9075,1.845966610260955e-05
1.91,1.8459666102609553e-05
1.9125,1.8459666102609557e-05
1.915,1.845966610260956e-05
1.9175,1.845966610260956e-05
1.92,1.845966610260956e-05
1.9225,1.845966610260956e-05
1.925,1.845966610260956e-05
1.9275,1.8459666102609553e-05
1.93,1.845966610260955e-05
1.9325,1.845966610260955e-05
1.935,1.845966610260955e-05
1.9375,1.845966610260955e-05
1.94,1.845966610260955e-05
1.9425,1.8459666102609553e-05
1.945,1.845966610260955e-05
1.9475,1.8459666102609547e-05
1.95,1.8459666102609547e-05
1.9525,1.8459666102609543e-05
1.955,1.845966610260954e-05
1.9575,1.845966610260954e-05
1.96,1.845966610260953e-05
1.9625,1.845966610260953e-05
1.965,1.8459666102609526e-05
1.9675,1.845966610260953e-05
1.97,1.845966610260953e-05
1.9725,1.8459666102609526e-05
1.975,1.8459666102609523e-05
1.9775,1.8459666102609513e-05
1.98,1.8459666102609513e-05
1.9825,1.8459666102609506e-05
1.985,1.8459666102609506e-05
1.9875,1.8459666102609506e-05
1.99,1.8459666102609503e-05
1.9925,1.8459666102609496e-05
1.995,1.8459666102609492e-05
1.9975,1.8459666102609489e-05
2.0,1.8459666102609482e-05
2.0025,1.8459666102609479e-05
2.005,1.8459666102609475e-05
2.0075,1.8459666102609472e-05
2.01,1.8459666102609472e-05
2.0125,1.8459666102609472e-05
2.015,1.8459666102609472e-05
2.0175,1.8459666102609475e-05
2.02,1.8459666102609479e-05
2.0225,1.8459666102609482e-05
2.025,1.8459666102609486e-05
2.0275,1.8459666102609489e-05
2.03,1.8459666102609489e-05
2.0325,1.8459666102609489e-05
2.035,1.8459666102609489e-05
2.0375,1.8459666102609482e-05
2.04,1.8459666102609479e-05
2.0425,1.8459666102609475e-05
2.045,1.8459666102609475e-05
2.0475,1.8459666102609472e-05
2.05,1.8459666102609472e-05
2.0525,1.8459666102609472e-05
2.055,1.8459666102609469e-05
2.0575,1.8459666102609469e-05
2.06,1.8459666102609459e-05
2.0625,1.8459666102609455e-05
2.065,1.8459666102609452e-05
2.0675,1.8459666102609435e-05
2.07,1.8459666102609431e-05
2.0725,1.8459666102609425e-05
2.075,1.8459666102609414e-05
2.0775,1.8459666102609408e-05
2.08,1.8459666102609401e-05
2.0825,1.8459666102609387e-05
2.085,1.8459666102609377e-05
2.0875,1.845966610260937e-05
2.09,1.8459666102609364e-05
2.0925,1.8459666102609347e-05
2.095,1.8459666102609333e-05
2.0975,1.8459666102609326e-05
2.1,1.8459666102609316e-05
