Physical Time (s),enth_flux_pressure_left Monitor (kg-m/s^3)
1.7875,1.9364054256222907e-05
1.79,1.8370767448452121e-05
1.7925,1.7342505046449375e-05
1.795,1.6290973882580382e-05
1.7975,1.5227422259647067e-05
1.8,1.4163057945476606e-05
1.8025,1.3109993292233151e-05
1.805,1.2079524547594995e-05
1.8075,1.1083640342414413e-05
1.81,1.0133799926684909e-05
1.8125,9.2408684787862551e-06
1.815,8.4154038444721759e-06
1.8175,7.6675816402566793e-06
1.82,7.0073969227176729e-06
1.8225,6.4437757609648478e-06
1.825,5.9842081908112328e-06
1.8275,5.6344278761270504e-06
1.83,5.3987419420596256e-06
1.8325,5.280014547836117e-06
1.835,5.279862099011844e-06
1.8375,5.3987667799983467e-06
1.84,5.6361190844397544e-06
1.8425,5.9904171625109003e-06
1.845,6.4588529940469507e-06
1.8475,7.0375998713517993e-06
1.85,7.7220013748512622e-06
1.8525,8.5064642037521683e-06
1.855,9.3842383859067332e-06
1.8575,1.0346424026899205e-05
1.86,1.1383764706677585e-05
1.8625,1.2485652754757918e-05
1.865,1.3640545250932746e-05
1.8675,1.4836284444684927e-05
1.87,1.6060698070485797e-05
1.8725,1.7301265166959431e-05
1.875,1.8546171679906079e-05
1.8775,1.9782963425504666e-05
1.88,2.0999517648725513e-05
1.8825,2.2184995829531496e-05
1.885,2.3327199400753513e-05
1.8875,2.4414541015047835e-05
1.89,2.5436579933042386e-05
1.8925,2.6383488125430397e-05
1.895,2.7246615177457738e-05
1.8975,2.8018654435324422e-05
1.9,2.8693316843295637e-05
1.9025,2.9265395982949913e-05
1.905,2.9731097974981586e-05
1.9075,3.0087604238256569e-05
1.91,3.0333871547478466e-05
1.9125,3.0470359352580026e-05
1.915,3.049885352084112e-05
1.9175,3.0422286079222297e-05
1.92,3.0244277756160042e-05
1.9225,2.9969229977187607e-05
1.925,2.9601773578066638e-05
1.9275,2.9147207165957793e-05
1.93,2.8612723086522909e-05
1.9325,2.8005798446202648e-05
1.935,2.7334608948651848e-05
1.9375,2.6607777124776928e-05
1.94,2.583375890782348e-05
1.9425,2.5020930582108843e-05
1.945,2.4177531667382011e-05
1.9475,2.3312040909632069e-05
1.95,2.2433488250915369e-05
1.9525,2.1551676829112336e-05
1.955,2.0675186119801226e-05
1.9575,1.9812633699890234e-05
1.96,1.8971496533061004e-05
1.9625,1.8158864986550422e-05
1.965,1.7381776146768049e-05
1.9675,1.6647465405382783e-05
1.97,1.596286662160392e-05
1.9725,1.5333804195393326e-05
1.975,1.4765413085221291e-05
1.9775,1.4257474396057281e-05
1.98,1.3817318956067934e-05
1.9825,1.3447874188250985e-05
1.985,1.3152288403782036e-05
1.9875,1.2932940653023793e-05
1.99,1.2791579251329726e-05
1.9925,1.2728590255935509e-05
1.995,1.2742649369162837e-05
1.9975,1.2830614495210213e-05
2.0,1.2988803078635344e-05
2.0025,1.3214281830571254e-05
2.005,1.3505137758446808e-05
2.0075,1.3859210584863797e-05
2.01,1.4273281558028778e-05
2.0125,1.4737177175506892e-05
2.015,1.52502596022277e-05
2.0175,1.5805164442803323e-05
2.02,1.6394759401491332e-05
2.0225,1.7012235401544556e-05
2.025,1.7651058922568164e-05
2.0275,1.8304810347572247e-05
2.03,1.8966464675377604e-05
2.0325,1.9628656656103329e-05
2.035,2.0284997391404152e-05
2.0375,2.0929396412294668e-05
2.04,2.1555629078512114e-05
2.0425,2.2156586564353779e-05
2.045,2.2723445172285844e-05
2.0475,2.3247936157846379e-05
2.05,2.3721625908061151e-05
2.0525,2.4136961681037149e-05
2.055,2.4487579439754571e-05
2.0575,2.4768638160093292e-05
2.06,2.4976615284784537e-05
2.0625,2.5108778011875797e-05
2.065,2.516311972640777e-05
2.0675,2.5138442450573215e-05
2.07,2.5034725932266062e-05
2.0725,2.4852092989585801e-05
2.075,2.4591480463174524e-05
2.0775,2.4254434970148599e-05
2.08,2.3843660830256519e-05
2.0825,2.3362292504046833e-05
2.085,2.2814326590704237e-05
2.0875,2.2204882596733535e-05
2.09,2.1540474151655934e-05
2.0925,2.0828582883075029e-05
2.095,2.0077107048770623e-05
