Physical Time (s),ev_left Monitor (W)
1.73,-6.6012169478971517e-10
1.7325,-6.5843969184133477e-10
1.735,-6.565398545598737e-10
1.7375,-6.5443344956586619e-10
1.74,-6.5213525905050508e-10
1.7425,-6.4966332779723928e-10
1.745,-6.470386317321993e-10
1.7475,-6.4428452310912547e-10
1.75,-6.4142640219620942e-10
1.7525,-6.3849113758267245e-10
1.755,-6.3550662698845241e-10
1.7575,-6.3250132343167533e-10
1.76,-6.2950371804207422e-10
1.7625,-6.2654171325732864e-10
1.765,-6.2364226448802854e-10
1.7675,-6.2083100072768084e-10
1.77,-6.1813195960366123e-10
1.7725,-6.155669743095985e-10
1.775,-6.1315561388784924e-10
1.7775,-6.1091483652381955e-10
1.78,-6.0885912897063427e-10
1.7825,-6.0700000926722749e-10
1.785,-6.053459930688317e-10
1.7875,-6.0390201718943431e-10
1.79,-6.0266951149104066e-10
1.7925,-6.0164646917827886e-10
1.795,-6.0082727889462776e-10
1.7975,-6.0020357548213024e-10
1.8,-5.9976372739178473e-10
1.8025,-5.9949327417916198e-10
1.805,-5.9937557913606673e-10
1.8075,-5.9939204577139684e-10
1.81,-5.9952216959806401e-10
1.8125,-5.9974406240546834e-10
1.815,-6.0003681939054194e-10
1.8175,-6.0037498857186498e-10
1.82,-6.0073413885994865e-10
1.8225,-6.0109068761421157e-10
1.825,-6.0142186629723583e-10
1.8275,-6.0170598942178349e-10
1.83,-6.0192283923284516e-10
1.8325,-6.0205403886608873e-10
1.835,-6.0208329918069422e-10
1.8375,-6.0199667817839969e-10
1.84,-6.0178276089208684e-10
1.8425,-6.0143266571697621e-10
1.845,-6.0094004157058641e-10
1.8475,-6.0030103920705656e-10
1.85,-5.9951446491979292e-10
1.8525,-5.9858166417339664e-10
1.855,-5.9750661758458688e-10
1.8575,-5.962953972829957e-10
1.86,-5.949559462564917e-10
1.8625,-5.9349773549836764e-10
1.865,-5.9193138213123042e-10
1.8675,-5.9026849211057777e-10
1.87,-5.8852179252095282e-10
1.8725,-5.8670495165013369e-10
1.875,-5.8483283590553928e-10
1.8775,-5.8292108074171439e-10
1.88,-5.8098576456722968e-10
1.8825,-5.790432011736209e-10
1.885,-5.771095824526272e-10
1.8875,-5.7520078779273527e-10
1.89,-5.7333213453989497e-10
1.8925,-5.7151930812515589e-10
1.895,-5.6977517594284981e-10
1.8975,-5.6811380699205493e-10
1.9,-5.6654534444445487e-10
1.9025,-5.6508160280971889e-10
1.905,-5.6372962100682919e-10
1.9075,-5.6249835381558374e-10
1.91,-5.6139163379755795e-10
1.9125,-5.6041530923178528e-10
1.915,-5.5956992070345633e-10
1.9175,-5.5885799962579017e-10
1.92,-5.5827677456375349e-10
1.9225,-5.5782480170169759e-10
1.925,-5.574958970907567e-10
1.9275,-5.572842820489969e-10
1.93,-5.5718037050711003e-10
1.9325,-5.5717446416829635e-10
1.935,-5.5725438737652289e-10
1.9375,-5.5740729585212206e-10
1.94,-5.5761936135670817e-10
1.9425,-5.578759009794147e-10
1.945,-5.5816148861234836e-10
1.9475,-5.5845989575220848e-10
1.95,-5.5875458659270144e-10
1.9525,-5.5902895463886502e-10
1.955,-5.5926683071671728e-10
1.9575,-5.5945266018858087e-10
1.96,-5.5957202132586388e-10
1.9625,-5.5961192969850653e-10
1.965,-5.5956047110958494e-10
1.9675,-5.5940741148127169e-10
1.97,-5.5914403886155815e-10
1.9725,-5.5876371013967071e-10
1.975,-5.5826146042352225e-10
1.9775,-5.5763405778654177e-10
1.98,-5.5688082761454514e-10
1.9825,-5.5600357601673158e-10
1.985,-5.5500611100733307e-10
1.9875,-5.538941322270886e-10
1.99,-5.5267501774618361e-10
