Physical Time (s),ea_right Monitor (W): right_cv1,ea_right Monitor (W): right_cv2,ea_right Monitor (W): right_cv3,ea_right Monitor (W): right_cv4,ea_right Monitor (W): right_cv5,ea_right Monitor (W): right_cv6,ea_right Monitor (W): right_cv7
0.2975,-1.6699010785943995e-07,2.1328859457989361e-08,2.4048635407252597e-10,1.8208048366611093e-11,9.359823689651244e-12,8.6688569918441867e-12,1.746099941501432e-10
0.3,-1.7356830976558117e-07,2.1481282412208752e-08,2.0906628790943619e-10,2.2315597019787609e-11,1.6081060624873252e-11,8.9959236270693147e-12,1.9268278732646558e-10
0.3025,-1.7995180964271041e-07,2.1676389898403335e-08,1.8775931000970682e-10,2.7204966075769735e-11,2.1657535607123591e-11,9.1612778281031009e-12,1.9764544160311569e-10
0.305,-1.8615544796002841e-07,2.193468350497003e-08,1.7478059421786992e-10,2.9623656318534679e-11,2.3978240648181451e-11,8.9419034211262676e-12,1.8869313725124297e-10
0.3075,-1.9221171837074363e-07,2.2269865459951662e-08,1.6890031795431574e-10,2.782766568814791e-11,2.215361516062729e-11,8.2352290528001898e-12,1.6682418198849241e-10
0.31,-1.98170114032827e-07,2.2689008477263607e-08,1.702762779286212e-10,2.2191179423825405e-11,1.6819945630975562e-11,7.0905388620179552e-12,1.3490468488501632e-10
0.3125,-2.0408449448911352e-07,2.3192948952046399e-08,1.8079273247181871e-10,1.5167023992425286e-11,9.906345179278148e-12,5.6734685715419452e-12,9.743276787226482e-11
0.315,-2.1000895839204054e-07,2.3778912301215847e-08,2.0379620110378514e-10,1.0563184255872289e-11,3.9349742095803721e-12,4.1944035611768608e-12,6.0013680578950974e-11
0.3175,-2.1600838357922707e-07,2.4441565397300935e-08,2.4334807351365534e-10,1.2393499319560619e-11,1.15301854296573e-12,2.8295696728189681e-12,2.8436257035281239e-11
0.32,-2.2213232297903493e-07,2.5173909216825845e-08,3.0302475628295758e-10,2.3702737552483918e-11,2.8490465085106915e-12,1.6882440455467431e-12,7.5188085416190601e-12
0.3225,-2.2840995604336247e-07,2.5968114583848013e-08,3.8472720653900601e-10,4.5760712816469557e-11,9.0840055510979494e-12,8.2538604336478578e-13,6.2364094641804037e-14
0.325,-2.3483981796849369e-07,2.6815874303348405e-08,4.8779407371212713e-10,7.7830594997691771e-11,1.8871043451918282e-11,2.7532885294273233e-13,6.2581897316853568e-12
0.3275,-2.4138465413874818e-07,2.7707165957803999e-08,6.085773448232849e-10,1.1748858321679444e-10,3.063777304672144e-11,8.3818399833259544e-14,2.377436792496572e-11
0.33,-2.4797618472347271e-07,2.8629439084810748e-08,7.4057918268760836e-10,1.6127827182910166e-10,4.2726975804756608e-11,3.2556276086088321e-13,4.8493373847534407e-11
0.3325,-2.5451076245110119e-07,2.9566923620818549e-08,8.7523425687925852e-10,2.0541326985340478e-10,5.3770732294788463e-11,1.0957543569811119e-12,7.5641367345534323e-11
0.335,-2.6085459548511202e-07,3.0500558628604082e-08,1.0030253785960755e-09,2.4632539247264681e-10,6.2843044942806735e-11,2.4702651156073215e-12,1.0088891886356782e-10
0.3375,-2.6685055451638779e-07,3.1408787406733179e-08,1.1145396859179578e-09,2.809136489738524e-10,6.9444936525710645e-11,4.4426462422970741e-12,1.2109416348254889e-10
0.34,-2.7235071418599358e-07,3.2269560600385002e-08,1.2015210669016579e-09,3.0665729004859818e-10,7.3372767556689194e-11,6.8484848715265316e-12,1.3455512671420913e-10
0.3425,-2.7721808721427682e-07,3.3063630023262534e-08,1.2575928258970154e-09,3.2164778941751596e-10,7.4577592759687517e-11,9.3421353072809537e-12,1.4083071963181198e-10
0.345,-2.8135960353930298e-07,3.3777491967891737e-08,1.2788044978079875e-09,3.2463041548248518e-10,7.3079627640374737e-11,1.1451009512382992e-11,1.40341050491539e-10
0.3475,-2.8473313884988696e-07,3.440533191840383e-08,1.2640073565686769e-09,3.1512875099762391e-10,6.895794065722559e-11,1.2709907928603414e-11,1.3390353412293913e-10
0.35,-2.8734615369879732e-07,3.4949467685963191e-08,1.2148724772040471e-09,2.9362589939110448e-10,6.2391301997204588e-11,1.2819048289438223e-11,1.2245294187239553e-10
0.3525,-2.8926661631824352e-07,3.5420648203826015e-08,1.1359475887000669e-09,2.6170221662112622e-10,5.3728506838901208e-11,1.1756199510501042e-11,1.0692702288660412e-10
0.355,-2.9060840493533821e-07,3.5836983910764014e-08,1.0342226626875773e-09,2.2202546527017083e-10,4.3562430013186658e-11,9.7881716093390779e-12,8.83155718083079e-11
0.3575,-2.9150845942675205e-07,3.6221458030230028e-08,9.1835176874951267e-10,1.7819884659752116e-10,3.2721100144453652e-11,7.3736757755122697e-12,6.7815827157488888e-11
0.36,-2.9210918505258062e-07,3.6599405178249689e-08,7.9782085871487581e-10,1.3429336551604958e-10,2.2214966734268504e-11,4.9985123659659773e-12,4.6984388160988245e-11
0.3625,-2.9253054039965697e-07,3.6995410518764011e-08,6.8180766124779913e-10,9.4222805926330354e-11,1.3119934916315472e-11,3.0265536304248774e-12,2.7762138788091533e-11
0.365,-2.9286234897309594e-07,3.7431252403546031e-08,5.7814156989923223e-10,6.1170632619878627e-11,6.4021588876212123e-12,1.6256811398157968e-12,1.2319285421893982e-11
0.3675,-2.9315716576898336e-07,3.7924132452853107e-08,4.9242187072669275e-10,3.7077542283650784e-11,2.727899364688441e-12,7.7668817129591819e-13,2.6678840934056181e-12
0.37,-2.9343574281737586e-07,3.8486129710616633e-08,4.2744483318095855e-10,2.2350610793041598e-11,2.3104389566182751e-12,3.4340329705160171e-13,1.2786752469926022e-13
