Physical Time (s),enth_flux_enthalpy_left Monitor (W)
1.915,-2.9998917585857732e-07
1.9175,-2.9530165794918272e-07
1.92,-2.9054657284035708e-07
1.9225,-2.8605631495252633e-07
1.925,-2.815713564676903e-07
1.9275,-2.7735438655049868e-07
1.93,-2.7317137875530253e-07
1.9325,-2.6919107444683277e-07
1.935,-2.6525096845222892e-07
1.9375,-2.6143803557660927e-07
1.94,-2.5766817336681402e-07
1.9425,-2.5395053105474643e-07
1.945,-2.5026553799331161e-07
1.9475,-2.4658576583788624e-07
1.95,-2.4289216765214623e-07
1.9525,-2.3915994119872359e-07
1.955,-2.3538276652896218e-07
1.9575,-2.315388658901667e-07
1.96,-2.2763807920800888e-07
1.9625,-2.2368538375897614e-07
1.965,-2.1969576228274899e-07
1.9675,-2.1568125060508594e-07
1.97,-2.116618182670137e-07
1.9725,-2.076783123603422e-07
1.975,-2.0374743586102926e-07
1.9775,-1.99897809582133e-07
1.98,-1.961945508567653e-07
1.9825,-1.9270385967231853e-07
1.985,-1.8947771648148079e-07
1.9875,-1.8657609365934327e-07
1.99,-1.8407006960506567e-07
1.9925,-1.8187767395104562e-07
1.995,-1.8034314571795096e-07
