Physical Time (s),enth_flux_pressure_left Monitor (W)
1.7025,2.7423602687406514e-07
1.705,2.7290160057781914e-07
1.7075,2.710910135186631e-07
1.71,2.6882498023068207e-07
1.7125,2.6613627130972887e-07
1.715,2.6307394548187652e-07
1.7175,2.5969180082522797e-07
1.72,2.5606632020764788e-07
1.7225,2.5227489391826073e-07
1.725,2.4839697953751761e-07
1.7275,2.4452332970370288e-07
1.73,2.407507065384589e-07
1.7325,2.3717425071057235e-07
1.735,2.3387653267824807e-07
1.7375,2.3095322416740051e-07
1.74,2.2847009761432527e-07
1.7425,2.2651363385361559e-07
1.745,2.2513847765384342e-07
1.7475,2.2440572654605534e-07
1.75,2.243680364153378e-07
1.7525,2.2505451435079487e-07
1.755,2.2648023893532376e-07
1.7575,2.2864713553744167e-07
1.76,2.3155016351625609e-07
1.7625,2.3516421096418022e-07
1.765,2.3945106090676012e-07
1.7675,2.4436397681433358e-07
1.77,2.4984618071305228e-07
1.7725,2.5582831131508614e-07
1.775,2.6224639011449349e-07
1.7775,2.6901570841074534e-07
1.78,2.7606962830493121e-07
1.7825,2.8331724709642485e-07
1.785,2.9069001362771771e-07
1.7875,2.9808604540654727e-07
1.79,3.0542525132564677e-07
1.7925,3.1260887389606269e-07
1.795,3.1953956983667843e-07
1.7975,3.2613641876017899e-07
1.8,3.3232338325447368e-07
1.8025,3.3804243616046512e-07
1.805,3.4326971784620276e-07
1.8075,3.479792395081526e-07
1.81,3.5216589425632587e-07
1.8125,3.5582793013155717e-07
1.815,3.5907024211969071e-07
1.8175,3.6166433630347436e-07
1.82,3.637493681886688e-07
1.8225,3.6535515302476119e-07
1.825,3.6653492497930345e-07
1.8275,3.6734249742437871e-07
1.83,3.6783671183360067e-07
1.8325,3.6807748585586621e-07
1.835,3.6812725947098442e-07
1.8375,3.6804814424765926e-07
1.84,3.6789529607046037e-07
1.8425,3.677011485985909e-07
1.845,3.6748567428694818e-07
1.8475,3.6726306315994551e-07
1.85,3.6703538212443969e-07
1.8525,3.6680253160819072e-07
1.855,3.6657454755000926e-07
1.8575,3.6632012275768916e-07
1.86,3.6600958449793394e-07
1.8625,3.6561029807705408e-07
1.865,3.6507384813294183e-07
1.8675,3.6434483495828766e-07
1.87,3.6337614251808278e-07
1.8725,3.6212416419974597e-07
1.875,3.6056714557875689e-07
1.8775,3.5867077404370354e-07
1.88,3.564375577733817e-07
1.8825,3.5386315286982181e-07
1.885,3.5096229354929464e-07
1.8875,3.4775677294472589e-07
1.89,3.4426686637054522e-07
1.8925,3.4058905231214812e-07
1.895,3.3658359233285141e-07
1.8975,3.3245638644278739e-07
1.9,3.280005589419705e-07
1.9025,3.235144518113076e-07
1.905,3.1874433087885152e-07
1.9075,3.1404622391250621e-07
1.91,3.0913093225167965e-07
1.9125,3.0437394649475219e-07
1.915,2.9946987680444259e-07
1.9175,2.9479550276949704e-07
1.92,2.9005402280175169e-07
1.9225,2.8557774699351493e-07
1.925,2.8110545989356232e-07
1.9275,2.7690075341985197e-07
1.93,2.727297643057659e-07
1.9325,2.6876191254040986e-07
1.935,2.6483420737656944e-07
1.9375,2.6103356978625191e-07
1.94,2.5727528687298232e-07
1.9425,2.5356851198672373e-07
1.945,2.4989341951979605e-07
1.9475,2.4622246311657696e-07
1.95,2.4253628945441019e-07
1.9525,2.3881001399582027e-07
1.955,2.3503693054994223e-07
1.9575,2.3119520976410907e-07
1.96,2.2729445648111279e-07
1.9625,2.2333911278045364e-07
1.965,2.193446915051894e-07
1.9675,2.1532406158200985e-07
1.97,2.1129778320309012e-07
1.9725,2.0730770923118705e-07
1.975,2.0337113161721729e-07
1.9775,1.995157353039926e-07
1.98,1.9580623351827876e-07
1.9825,1.923083243134462e-07
1.985,1.8907434800859535e-07
1.9875,1.8616457957902255e-07
1.99,1.8365025286320778e-07
1.9925,1.8144905977484856e-07
1.995,1.7990604581573635e-07
1.9975,1.7882758187020126e-07
2.0,1.7838876440641124e-07
2.0025,1.7861336461532447e-07
2.005,1.7952286561188593e-07
2.0075,1.8112551459286776e-07
2.01,1.8341252346108166e-07
2.0125,1.863681948480486e-07
2.015,1.8997462648551013e-07
2.0175,1.9421112709928738e-07
2.02,1.9905256424757932e-07
2.0225,2.0446555117067959e-07
2.025,2.1040846335959767e-07
2.0275,2.1683597949575438e-07
2.03,2.2369134775169688e-07
2.0325,2.309139205415336e-07
2.035,2.3843839730085357e-07
2.0375,2.4620143567420205e-07
2.04,2.5412895427320744e-07
2.0425,2.6214359050548935e-07
2.045,2.7018581321635029e-07
2.0475,2.7818648574354187e-07
2.05,2.8608177893104736e-07
2.0525,2.9382385959976782e-07
2.055,3.0136360585347357e-07
2.0575,3.0865219622111067e-07
2.06,3.1564828359554295e-07
2.0625,3.2230871936568894e-07
2.065,3.2859793061297755e-07
2.0675,3.3448195481722412e-07
2.07,3.3993432486650376e-07
2.0725,3.4493862759254064e-07
2.075,3.4949021990644372e-07
2.0775,3.5359481379641491e-07
2.08,3.5725773196372951e-07
2.0825,3.6049701627280142e-07
2.085,3.6334054283077402e-07
2.0875,3.6581654590266617e-07
2.09,3.6795290076047322e-07
