Physical Time (s),ev_bot Monitor (W): bot_cv1,ev_bot Monitor (W): bot_cv2,ev_bot Monitor (W): bot_cv3,ev_bot Monitor (W): bot_cv4,ev_bot Monitor (W): bot_cv5,ev_bot Monitor (W): bot_cv6,ev_bot Monitor (W): bot_cv7
0.29,8.1205011154649282e-13,-3.849914892960039e-13,-1.1812504193556342e-12,-2.7303064837667801e-13,-1.9938646203479409e-14,-7.0417665149653989e-16,1.291889205158771e-18
0.2925,9.3514013575194671e-13,-3.3176510456445634e-13,-1.0933986916686664e-12,-2.6139825012884214e-13,-2.0135669307288097e-14,-8.2644420509550069e-16,8.3927999356256835e-19
0.295,1.1072335254139731e-12,-2.7321607686409127e-13,-9.9453004542179223e-13,-2.5302577455794796e-13,-2.2310327929496108e-14,-1.3790317486531933e-15,-4.9183721482193062e-19
0.2975,1.3315332625334511e-12,-2.1593714341306769e-13,-8.8988828212011179e-13,-2.4547872415519808e-13,-2.5941894898219753e-14,-2.6994153525926656e-15,-2.7511098050002293e-17
0.3,1.6052653698135974e-12,-1.6532479165739969e-13,-7.8559114647540971e-13,-2.3636031797861454e-13,-3.0098980904446124e-14,-5.1212262182626408e-15,-2.1466153249702204e-16
0.3025,1.9159221204061234e-12,-1.245547685001375e-13,-6.8801047765117978e-13,-2.2404462339715063e-13,-3.3398584478665012e-14,-8.3780007185807887e-15,-7.4809713717061497e-16
0.305,2.2390493332008167e-12,-9.4453796225683578e-14,-6.0302375468067363e-13,-2.0831499278448888e-13,-3.4461944636113405e-14,-1.1263929513104952e-14,-1.5984622462300698e-15
0.3075,2.5399864856567491e-12,-7.41544819971517e-14,-5.3538743749028036e-13,-1.9050828028778524e-13,-3.2647770604890504e-14,-1.2258241019610057e-14,-2.3496994214548697e-15
0.31,2.7800232364442994e-12,-6.209753781076639e-14,-4.8846109965972479e-13,-1.7306682676008138e-13,-2.8437509482214929e-14,-1.0720670810554757e-14,-2.4636814258461018e-15
0.3125,2.9254719404958769e-12,-5.6918939631930881e-14,-4.6463275834672613e-13,-1.5878198960673781e-13,-2.3158166157302772e-14,-7.478949075506044e-15,-1.8089820372078384e-15
0.315,2.9564130457120804e-12,-5.796224901880602e-14,-4.6601171046620373e-13,-1.5012521006865673e-13,-1.8239567775713016e-14,-4.1407707277860062e-15,-8.4732672343312138e-16
0.3175,2.8716720864788367e-12,-6.5520633092562377e-14,-4.9519358034620449e-13,-1.4905892481079797e-13,-1.4616913623176167e-14,-1.8643279836755807e-15,-1.8887773579411535e-16
0.32,2.6881857331480025e-12,-8.0873184227076686e-14,-5.5557340829520969e-13,-1.572088915162571e-13,-1.2641336190674315e-14,-7.8425947622733065e-16,-4.4520132170782444e-18
0.3225,2.4354786070791575e-12,-1.0612114904699369e-13,-6.5098023990747823e-13,-1.7611417376890784e-13,-1.2353061403919399e-14,-4.1348969972060735e-16,1.3777830498541307e-17
0.325,2.1479609397226749e-12,-1.4368129772555719e-13,-7.8431821645338909e-13,-2.0724296913918073e-13,-1.3810161090454476e-14,-3.2071515102974402e-16,1.5758802640602217e-16
0.3275,1.8575708265777115e-12,-1.9534114688158668e-13,-9.5560223867981519e-13,-2.5151346474387164e-13,-1.7245994891624983e-14,-3.8687487249762812e-16,3.5652479888400439e-16
0.33,1.5890628853901538e-12,-2.6102598402189632e-13,-1.1597569469656167e-12,-3.0844316259358925e-13,-2.29958028133126e-14,-6.7560666634956495e-16,3.8118558464070432e-16
0.3325,1.358309220704274e-12,-3.3770861850214353e-13,-1.385199342362559e-12,-3.7523254678412248e-13,-3.120521383016371e-14,-1.3158652109309185e-15,2.1537353232083617e-16
0.335,1.1732178107159108e-12,-4.1903582526063688e-13,-1.6140676454301899e-12,-4.4634634987527907e-13,-4.1437101205337486e-14,-2.4870519844698323e-15,5.3361209784611813e-17
0.3375,1.0361534126888928e-12,-4.9595718235352106e-13,-1.824402761270567e-12,-5.1399689276500192e-13,-5.2420363060310773e-14,-4.2831492386835816e-15,1.8977242600810835e-19
0.34,9.4671262569597375e-13,-5.5830608917585675e-13,-1.9938637123116648e-12,-5.6968080350876345e-13,-6.2198086993059362e-14,-6.4383101828778958e-15,-4.1115701896870855e-17
0.3425,9.0377727575954522e-13,-5.971682653906736e-13,-2.1041521568699209e-12,-6.062345659414459e-13,-6.8735866911796817e-14,-8.2550029325588389e-15,-1.6209290842761011e-16
0.345,9.0679451252150164e-13,-6.0687300285210091e-13,-2.1445372717422979e-12,-6.196981961708891e-13,-7.0714399159597926e-14,-8.972723984721008e-15,-2.8136499732726129e-16
0.3475,9.5628250814192955e-13,-5.8645601221444773e-13,-2.1136707968305935e-12,-6.0996144310327227e-13,-6.8029709509946697e-14,-8.305140203313218e-15,-2.6899400663353794e-16
0.35,1.0538649251942111e-12,-5.3978319040521136e-13,-2.0192691166362953e-12,-5.8055908307768694e-13,-6.1736899717995871e-14,-6.6390860989485931e-15,-1.4260403802943308e-16
