Physical Time (s),ek_vol Monitor (J): cv1,ek_vol Monitor (J): cv2,ek_vol Monitor (J): cv3,ek_vol Monitor (J): cv4,ek_vol Monitor (J): cv5,ek_vol Monitor (J): cv6,ek_vol Monitor (J): cv7
0.3425,1.8921651750950044e-07,8.7183428800654887e-08,4.0678600016655394e-09,2.628313945639987e-10,5.4177079601939042e-11,1.1230731796824701e-11,5.0150670060453476e-11
0.345,1.8938150665892366e-07,8.8348293006077775e-08,4.1496994223511208e-09,2.6670948228051292e-10,5.444395875006202e-11,1.117902878347315e-11,5.2216967713473783e-11
0.3475,1.8959910172881655e-07,8.9456331398957534e-08,4.2025319917877345e-09,2.6319408411941143e-10,5.2508005354225066e-11,1.0466949256950103e-11,5.1468082274249556e-11
0.35,1.8986802664552575e-07,9.0508467199739705e-08,4.2275588369861195e-09,2.5280698424822723e-10,4.8578315935708782e-11,9.2016699402056959e-12,4.7939125734845236e-11
0.3525,1.9018408215786551e-07,9.150994960077362e-08,4.2278716702005582e-09,2.3666249323898189e-10,4.3070427130091529e-11,7.6156100010831051e-12,4.2065321851531114e-11
0.355,1.9054010260335587e-07,9.246984637427648e-08,4.2081933521497199e-09,2.1634519708467855e-10,3.6554246570523711e-11,5.9614583134500825e-12,3.4562075963086481e-11
0.3575,1.9092607544949736e-07,9.3400204907485796e-08,4.1745256180041265e-09,1.9374386289879803e-10,2.9683431280420849e-11,4.4262498754989478e-12,2.6263045036031563e-11
0.36,1.9132946895791555e-07,9.4314834575892514e-08,4.1336778221732834e-09,1.7083433675164836e-10,2.3122511755830681e-11,3.1145453012661183e-12,1.8004241593056454e-11
0.3625,1.9173583287265359e-07,9.5228019650798906e-08,4.0927433205729098e-09,1.4945478295550974e-10,1.7469177448051997e-11,2.097735291787114e-12,1.0583693842910754e-11
0.365,1.9212987912897596e-07,9.6153259853657725e-08,4.0586314911049316e-09,1.3111222163870067e-10,1.3185287681542625e-11,1.474462379731847e-12,4.7491285426377621e-12
0.3675,1.9249682922770463e-07,9.7102228762524362e-08,4.0375771878470794e-09,1.1682459316504623e-10,1.0536503564505574e-11,1.384913735424546e-12,1.128631585282647e-12
0.37,1.928237358383643e-07,9.8084183421913658e-08,4.0347384173689486e-09,1.0703584273296876e-10,9.5514375833306027e-12,1.9577179938024465e-12,8.1188055795868586e-14
0.3725,1.9310063043233584e-07,9.9105645113709061e-08,4.053983935204419e-09,1.0164760455290651e-10,1.0020743594102064e-11,3.21946340493276e-12,1.5377128871576813e-12
