Physical Time (s),xth_top Monitor (kg-m/s^3): top_cv1,xth_top Monitor (kg-m/s^3): top_cv2,xth_top Monitor (kg-m/s^3): top_cv3,xth_top Monitor (kg-m/s^3): top_cv4,xth_top Monitor (kg-m/s^3): top_cv5,xth_top Monitor (kg-m/s^3): top_cv6,xth_top Monitor (kg-m/s^3): top_cv7
0.00496223,1.1608643226472347e-15,-1.8943738441537543e-15,-5.264116816847602e-15,-5.3723659781605421e-15,-2.228660983248149e-15,-3.1212130721091588e-15,-2.64429521492131e-15
0.00501287,-5.5145493848066791e-16,-1.4662283451792048e-18,-2.2628182408725472e-16,4.6692046080305904e-16,-1.3703207836958341e-15,-1.7371707540505346e-15,-1.3725045254271302e-15
0.0050635,7.0241699873688624e-15,7.2713733074529818e-15,3.9853065321911636e-15,5.0282434755709633e-15,6.142954374660805e-15,4.9314421918638108e-15,6.2932890981344815e-15
0.00511413,-1.3399222825966372e-14,-1.5574774539234087e-14,-1.994592075723648e-14,-2.4250577932313561e-14,-2.5216744785324036e-14,-2.7727350887795198e-14,-2.7685733448706852e-14
0.00516477,8.0736358170341646e-15,8.5896642247380817e-15,5.1169197161924686e-15,3.2461126238996228e-15,1.3703037822014705e-15,2.544457281557725e-15,1.1389663448428742e-15
0.00521541,-9.6787695458604889e-15,-1.2438196509679137e-14,-1.5142609622660455e-14,-1.5044127783184922e-14,-1.5960502270030622e-14,-1.5639617636810326e-14,-1.8091232654241799e-14
0.00526604,1.684216539580472e-14,1.6016343175361914e-14,1.7089072509851768e-14,1.6381774354665597e-14,1.5012916716622286e-14,1.3378161998818791e-14,1.5008219961847767e-14
0.00531667,-1.7223656909622449e-14,-1.818726183123331e-14,-2.1291866662499296e-14,-1.9299175412729675e-14,-2.0342139355110509e-14,-1.8934146722754339e-14,-2.0196621252816507e-14
0.00536731,8.2928265683022823e-15,6.7859663636610143e-15,8.450833888277083e-15,1.0115851310937327e-14,1.0555649939766051e-14,1.2289826804903673e-14,1.4649828609831831e-14
0.00541794,-1.0835374571877387e-14,-1.1028663872589733e-14,-1.8536888626208024e-14,-1.9809128133695315e-14,-1.5771407744121657e-14,-1.3976463025166627e-14,-1.4672026401150819e-14
0.00546858,-8.7560591939982199e-15,-1.119584622059268e-14,-1.0603363655718327e-14,-1.0190577587845735e-14,-1.1658713421051287e-14,-9.3129415764078753e-15,-5.6425957621357019e-15
0.00551922,2.7771455161113321e-15,9.4064249899599442e-16,-2.0385482794786886e-15,-4.5995305592686059e-15,-1.0015576182517251e-14,-1.0972698794924857e-14,-9.4659190770956374e-15
0.00556985,2.1570206121890996e-17,-4.6442334615874856e-16,-6.051269287368496e-15,-7.4298124390728678e-15,-1.0569156720105251e-14,-1.0890505135653191e-14,-9.3425338707237965e-15
0.00562048,-1.0774075420964346e-14,-1.1110045706650625e-14,-1.1909033417386327e-14,-1.0044146249135242e-14,-8.7660232262295571e-15,-7.1485590429081962e-15,-7.7355194305509839e-15
0.00567112,-8.2962527672454627e-15,-7.7602567192293328e-15,-8.5936453194257325e-15,-9.0647860418342005e-15,-9.4511707344787475e-15,-1.1655827071543313e-14,-1.4128724858789606e-14
0.00572176,-1.0266959951570593e-15,-1.2302550284584633e-15,-9.7413233173732443e-16,-5.9150345679694391e-15,-3.8456807265754472e-15,-6.0064578881871169e-15,-5.5045515590464553e-15
0.00577239,-1.9547641568341362e-15,-1.6633834142057255e-15,1.1485730723901786e-15,2.8609529463124876e-16,-2.3530924169946448e-15,-4.5114063203613365e-15,-4.2666454611143876e-15
0.00582302,-6.2462362706807075e-15,-8.8332273038789946e-15,-1.5244142446957317e-14,-1.6471595690484474e-14,-2.1537138792950429e-14,-1.900195435942321e-14,-2.0196318200549516e-14
0.00587366,-2.7625758379646292e-15,-3.2498606854876322e-15,-2.1138509963833315e-15,-3.1178319067459796e-15,-2.8037743336093504e-15,-2.4501790267029804e-15,-2.4876462120445306e-15
0.00592429,-8.8768154436891895e-16,1.3246756535788194e-17,-2.7330341025828294e-15,-2.0003544432079544e-15,-2.0222536248648171e-15,-1.661835289459514e-15,-2.5412079615342872e-15
0.00597493,8.161371294662254e-15,7.3451328934220082e-15,7.2893533988943809e-15,7.5620980691556892e-15,4.4945762942982471e-15,3.4843639530196118e-15,3.1563546370980979e-15
