Physical Time (s),ea_right Monitor (kg-m/s^3): right_cv1,ea_right Monitor (kg-m/s^3): right_cv2,ea_right Monitor (kg-m/s^3): right_cv3,ea_right Monitor (kg-m/s^3): right_cv4,ea_right Monitor (kg-m/s^3): right_cv5,ea_right Monitor (kg-m/s^3): right_cv6,ea_right Monitor (kg-m/s^3): right_cv7
0.00536731,0.26475578192445098,0.0082195397182974125,0.00069919449526491338,0.00011894275048453915,3.5787240246131984e-05,1.152054404982141e-06,7.0683165927369542e-05
0.00541794,0.26901574675336354,0.0083631957064092544,0.00068582109349696828,0.00012526941528543818,3.3834792505363582e-05,1.0893564040688434e-06,2.2966977512674927e-05
0.00546858,0.27332111324500785,0.0085150055621584404,0.00066949054696411128,0.00013247220316525086,3.2038754652862614e-05,1.0741556118272931e-06,8.1281431012824657e-06
0.00551922,0.27767663220036093,0.0086699167403991809,0.00065270427442664942,0.0001397526136957102,3.062759520605445e-05,1.1071278355442413e-06,1.571215394237545e-05
0.00556985,0.28208184691720101,0.0088235388683412554,0.00063786010301313185,0.00014625953598837983,2.9764730794134031e-05,1.1959110445700912e-06,3.2500756572866467e-05
0.00562048,0.28653244335831918,0.0089725844664201131,0.00062697358165751172,0.00015121377556509227,2.9546200836676037e-05,1.3499421717465634e-06,4.7186502441089492e-05
0.00567112,0.29102154755995091,0.0091151405252646832,0.00062151845188198956,0.00015403813325644348,2.9999585516103079e-05,1.5733444699367288e-06,5.3352883804123243e-05
0.00572176,0.29554553627719865,0.009250745036118984,0.00062236759000318192,0.00015446632277036303,3.1104198614971358e-05,1.8572653342189455e-06,4.990070228274609e-05
0.00577239,0.3000976440064263,0.0093802984168994356,0.00062980178585194345,0.00015256753204956596,3.2774030362067984e-05,2.1739876424885416e-06,3.9420782158141598e-05
0.00582302,0.30466528390126679,0.0095058113463237989,0.00064356290713614894,0.00014873736843349153,3.4849946732002043e-05,2.4768174322477591e-06,2.6210599905712076e-05
0.00587366,0.30923581427084063,0.0096300851358275749,0.00066294048282484151,0.00014361722540184169,3.7098426210995197e-05,2.7083098299988381e-06,1.4266592797267188e-05
0.00592429,0.3137986111779939,0.0097563255736769963,0.00068687347397455921,0.00013797764364000095,3.9224570095003942e-05,2.8145886884025873e-06,5.9880855502953534e-06
0.00597493,0.31833989448408684,0.009887765984949011,0.00071407360163921194,0.00013259704934980333,4.0912223432002464e-05,2.7617153497899877e-06,1.8254726070258281e-06
0.00602557,0.32284336965333238,0.010027275748308086,0.00074317514906420315,0.00012815848360595163,4.1879544713910611e-05,2.5476327911481291e-06,7.8743109277437996e-07
0.0060762,0.3272943230659659,0.010177006899836723,0.00077289126717860405,0.00012518966559280835,4.1938013584632562e-05,2.2032735115185712e-06,1.3124159185136654e-06
0.00612683,0.33168633798223812,0.010338118306950604,0.00080215268149386491,0.00012404183182504499,4.1042765706833311e-05,1.7848612706953446e-06,2.0385468459339695e-06
0.00617747,0.33601926083189887,0.010510638245764651,0.00083020982328490666,0.00012489387879204307,3.929123410300391e-05,1.3580335180670208e-06,2.2306597850288912e-06
0.00622811,0.34029317141407944,0.010693503883375173,0.00085668565224501542,0.00012777268075909711,3.6914852176079925e-05,9.8061005240168718e-07,1.8008156059170452e-06
0.00627874,0.34451274378419489,0.010884765099273743,0.00088157551900401154,0.00013257445762461357,3.4231396612408671e-05,6.9015657129501182e-07,1.073659028780551e-06
0.00632937,0.34868215217569554,0.011081908963796377,0.00090519847454760235,0.00013908808757865911,3.1585400397894504e-05,4.9995881980279103e-07,4.9981093244926047e-07
0.00638001,0.35280158266357681,0.011282287128967764,0.00092811417440463728,0.00014701801209401395,2.9295287367564155e-05,4.0407590424347662e-07,4.1993575075753939e-07
0.00643064,0.35686931979660635,0.011483543186914384,0.00095101581366584449,0.00015602063688748642,2.7615289391757017e-05,3.8729804462212408e-07,9.3847470474294311e-07
0.00648128,0.36087787889417056,0.0116839716157029,0.00097462466866647928,0.00016574838430996315,2.6723144860950524e-05,4.3450162112994977e-07,1.9266055300843076e-06
0.00653192,0.36481717884984605,0.011882724395537961,0.00099958996137258327,0.00017589996140276868,2.6726711768173597e-05,5.3485451043793732e-07,3.1195372252703587e-06
0.00658255,0.36867486297141444,0.012079788737751587,0.0010264084622969439,0.00018626164319182143,2.7680391719675108e-05,6.8073136158516852e-07,4.2348117815065392e-06
0.00663318,0.37243554626746633,0.012275773996702145,0.0010553718339245623,0.00019673180315901988,2.9598062044914938e-05,8.6226675760961638e-07,5.0603918764349824e-06
0.00668382,0.37608474367473749,0.012471598125519666,0.0010865465915325698,0.00020732349207755045,3.2465159985441116e-05,1.0620251774932194e-06,5.4918002397008641e-06
0.00673445,0.37960757946397422,0.012668077840168504,0.0011197884770847589,0.00021814717950850349,3.6234567626319272e-05,1.254135342569551e-06,5.5457721275621357e-06
0.00678509,0.38298425494021904,0.012865509185298118,0.0011547871690175638,0.000229378189746621,4.0823067884475512e-05,1.4085380187541304e-06,5.2880373454693794e-06
0.00683572,0.38619693402410687,0.013063421872050946,0.0011911388477449853,0.00024121892259746375,4.6110924293554276e-05,1.4995317938952751e-06,4.8206413730900804e-06
0.00688636,0.38923095485209425,0.013260369307466074,0.0012284281062016687,0.00025386167214635157,5.1949263116111093e-05,1.5143209713159619e-06,4.2484748744628478e-06
0.00693699,0.39207788873905441,0.013453841941778455,0.0012663070250272974,0.00026745953258175284,5.8180077736896783e-05,1.4580867828218966e-06,3.6572162319925058e-06
0.00698763,0.39473219494308287,0.013640481459201138,0.0013045531869640913,0.00028210830724127164,6.4660296919714992e-05,1.3523213030808275e-06,3.1050556983988756e-06
0.00703827,0.39719391429651241,0.013816304891685994,0.0013430913851701671,0.00029783755713743792,7.1286242954040398e-05,1.2294525736507996e-06,2.6238451873397753e-06
0.0070889,0.39946269877661095,0.013977212554859803,0.0013819741051573919,0.00031461047163985315,7.8011635946343907e-05,1.1254630080251994e-06,2.2255145646697989e-06
0.00713953,0.40154355458510327,0.014118951928776963,0.0014213189847864917,0.00033233091992878477,8.4855783854193305e-05,1.074272896502739e-06,1.9095000047620524e-06
0.00719017,0.40344095462975971,0.014238163074476517,0.0014612154152431407,0.00035085574417247848,9.1899262710837536e-05,1.1070983379429727e-06,1.6689554453948299e-06
0.0072408,0.40515843538877144,0.014332661822298877,0.0015016172362297133,0.00037001216193540353,9.927012880173904e-05,1.257500043393604e-06,1.4947571033452655e-06
0.00729144,0.40669155811738683,0.014401103447028538,0.0015422388244371002,0.00038961818877947691,0.0001071237094318944,1.5693014263948629e-06,1.3778828188979541e-06
0.00734207,0.40803139079425532,0.014443904231904267,0.0015824737868843806,0.00040950219111892056,0.00011561898607263524,2.1030150065692295e-06,1.310428650519161e-06
0.00739271,0.40916597422007112,0.014462862354315688,0.0016213511627370175,0.00042951734723213337,0.00012489582000507033,2.9351292213065235e-06,1.2855704458824375e-06
0.00744334,0.41008323574280481,0.014461117250456772,0.0016575410982294239,0.00044954803880691702,0.00013505338377423586,4.1498779054481656e-06,1.2975000678552269e-06
0.00749398,0.41079408943053414,0.01444288134102242,0.0016894141075788544,0.00046950231058734524,0.00014613425157082046,5.8246510352219098e-06,1.3403535698570029e-06
0.00754462,0.4113086480410737,0.014412649214764355,0.0017151538583387712,0.00048928975298099587,0.00015811101475978384,8.0129825531609836e-06,1.4071378261851481e-06
0.00759525,0.41164520159156159,0.014375637256054114,0.0017329228102415093,0.00050878688616777003,0.00017088121218561454,1.0730801100810572e-05,1.4889640962546018e-06
0.00764588,0.41183858461455636,0.014336306704249088,0.0017410369829565088,0.00052779360227081279,0.00018426894366045335,1.3950196773577359e-05,1.5743851023784578e-06
0.00769652,0.41193815834293968,0.014298421205113966,0.0017381475004892353,0.00054599014397049156,0.00019803296756162609,1.7602432465591755e-05,1.6499054264131171e-06
0.00774715,0.41198772291795466,0.014265087761040168,0.0017234126119565919,0.00056290433056036644,0.00021188104853199141,2.1591389727121286e-05,1.7011433625209922e-06
0.00779779,0.41203917193611045,0.014237727538690974,0.0016966141050667734,0.00057789717216479995,0.00022548766676898412,2.5811230398542751e-05,1.7148225950921733e-06
0.00784842,0.41214462904177135,0.014217051040019144,0.0016581988863303722,0.00059017685969808679,0.00023851120554308232,3.0164168365620736e-05,1.6809321794653932e-06
0.00789906,0.41233469247334154,0.014203199516052716,0.0016092519523713822,0.00059884351262385791,0.00025060897766514669,3.4575059047941558e-05,1.5952244369310812e-06
0.00794969,0.41260520017900265,0.014195307249175558,0.0015514051134307978,0.00060296744850806862,0.0002614490610185984,3.899906392262194e-05,1.4592126250493129e-06
0.00800033,0.41290904347889013,0.014192786309694866,0.0014866920341891007,0.00060168898596486007,0.00027071712467953722,4.3421610892985737e-05,1.2812201504873643e-06
0.00805097,0.41316338634927252,0.014195606139519817,0.0014173721101170521,0.00059431440188403753,0.00027811901137906778,4.7851851691237352e-05,1.0745723480857853e-06
0.0081016,0.41324472194673023,0.014203866179234113,0.0013457485984702618,0.00058042340808711005,0.00028338079433455686,5.2311718926250665e-05,8.5548340394142687e-07
