Physical Time (s),enth_flux_viscous_right Monitor (kg-m/s^3): right_cv1,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv2,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv3,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv4,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv5,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv6,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv7
0.00567112,0.00091398226104416407,5.9011471007089838e-06,1.5165249833930996e-07,-4.5529329397529628e-08,-5.1416795859936926e-08,-2.1594440339880589e-08,6.7847996737342232e-08
0.00572176,0.00093741324601847708,5.9432016498279515e-06,1.6041125896527944e-07,-5.0379400053548383e-08,-4.5315043701168933e-08,-2.1669330824933662e-08,4.6957123592752814e-08
0.00577239,0.00096355043219835726,5.9811211216003948e-06,1.6778658890417104e-07,-5.3988729619997178e-08,-4.0429070531877849e-08,-2.2068498127510404e-08,3.6696603574406357e-08
0.00582302,0.00099273609760375855,6.0178372768780279e-06,1.7324472603274367e-07,-5.5670217566759196e-08,-3.7133381953736253e-08,-2.2800367207849107e-08,3.1772368103765281e-08
0.00587366,0.0010251181496725539,6.0560300641707906e-06,1.7649904919976162e-07,-5.5082468744532438e-08,-3.5715450426553911e-08,-2.3778334199549121e-08,2.7577024146127302e-08
0.00592429,0.00106058381483942,6.0984700853209839e-06,1.7745656919439014e-07,-5.2342206535539115e-08,-3.6256170362374577e-08,-2.4804547259795574e-08,2.2255428031783099e-08
0.00597493,0.0010985467462195074,6.146538546498618e-06,1.761949808208383e-07,-4.7954776179902012e-08,-3.8645045150595931e-08,-2.5588710281335742e-08,1.5118938327258106e-08
0.00602557,0.0011380117338356283,6.2011737346735028e-06,1.7296408254966506e-07,-4.271483888488238e-08,-4.3062856915100403e-08,-2.5826282698127328e-08,6.263550797324786e-09
0.0060762,0.0011777948981262117,6.2619737357662095e-06,1.6813880674669939e-07,-3.7518884348439427e-08,-4.9677182101087401e-08,-2.5286800648807044e-08,-3.9567170723512401e-09
0.00612683,0.0012167799072692097,6.3275539699778559e-06,1.6217226306020698e-07,-3.3231323675243881e-08,-5.7513382039462877e-08,-2.3890834252066674e-08,-1.5051761606808032e-08
0.00617747,0.0012542351614035303,6.3961350211191559e-06,1.5553670330813267e-07,-3.0552922405551279e-08,-6.5063570925694179e-08,-2.1761898339400587e-08,-2.1743575870399581e-08
