Physical Time (s),ea_bot Monitor (kg-m/s^3): bot_cv1,ea_bot Monitor (kg-m/s^3): bot_cv2,ea_bot Monitor (kg-m/s^3): bot_cv3,ea_bot Monitor (kg-m/s^3): bot_cv4,ea_bot Monitor (kg-m/s^3): bot_cv5,ea_bot Monitor (kg-m/s^3): bot_cv6,ea_bot Monitor (kg-m/s^3): bot_cv7
0.00577239,7.0422400285801039e-07,1.2033190447028968e-07,-1.8691455777407348e-07,-1.9253133032731232e-07,-1.9324098773366064e-07,-1.9352984058162392e-07,-1.9354395416578724e-07
0.00582302,6.9335126435390247e-07,1.1941965276667504e-07,-1.8290740244308117e-07,-1.8861718039379503e-07,-1.8916379672827791e-07,-1.8934238504816181e-07,-1.8937018064570256e-07
0.00587366,6.836714135871307e-07,1.2042345916455067e-07,-1.7660664724115431e-07,-1.8241735617649041e-07,-1.8280989553269139e-07,-1.8291677747201984e-07,-1.8295660001478331e-07
0.00592429,6.7456263794272285e-07,1.2245922345259997e-07,-1.6908254735134567e-07,-1.7499707241045373e-07,-1.7525772290691438e-07,-1.7532228589034533e-07,-1.753671242453674e-07
0.00597493,6.6543047204924619e-07,1.2458267879328754e-07,-1.6146486950778632e-07,-1.6747670444521139e-07,-1.6763615095788875e-07,-1.6767778688924636e-07,-1.6771845987828107e-07
0.00602557,6.5581128420866582e-07,1.2592722994926138e-07,-1.5478745323739519e-07,-1.6087550882296406e-07,-1.6096639980628593e-07,-1.6099599665244143e-07,-1.6102401064703204e-07
0.0060762,6.4546198654694544e-07,1.2583563631972764e-07,-1.4984114931515588e-07,-1.5596495833515671e-07,-1.5601576843341579e-07,-1.5603851964193637e-07,-1.5604821681313076e-07
0.00612683,6.3441272091567279e-07,1.2394884632614129e-07,-1.4707114972133087e-07,-1.5316779116450525e-07,-1.5319908394490928e-07,-1.5321753865950968e-07,-1.5320709265781478e-07
0.00617747,6.2298234576337597e-07,1.2025073470079615e-07,-1.465252624704426e-07,-1.5250918121818523e-07,-1.5253340471170569e-07,-1.5254998660451892e-07,-1.5252115898563277e-07
0.00622811,6.1176044893474554e-07,1.1507558659488577e-07,-1.4785148770636252e-07,-1.5361808323882862e-07,-1.5364288908002639e-07,-1.5366162916457352e-07,-1.5361865316636199e-07
0.00627874,6.0156042362613088e-07,1.0907114554804544e-07,-1.5033806121745116e-07,-1.5577144443890565e-07,-1.5580563160903241e-07,-1.5583327854465946e-07,-1.5578152901927743e-07
0.00632937,5.9336420901519321e-07,1.0314916148179678e-07,-1.5297173226443438e-07,-1.5795658264533588e-07,-1.5801731287239851e-07,-1.5806412052061463e-07,-1.5800911482755478e-07
0.00638001,5.8826743055578496e-07,9.8430737389512854e-08,-1.5450331781464233e-07,-1.5894030900502447e-07,-1.5906021004190578e-07,-1.5914055635459275e-07,-1.5908750777209937e-07
0.00643064,5.8743219028047777e-07,9.6195421366198536e-08,-1.5351031977669559e-07,-1.5733370359307583e-07,-1.575667058160297e-07,-1.5769940799452781e-07,-1.5765319890840908e-07
0.00648128,5.9204867076986513e-07,9.7831328783033331e-08,-1.4845744625463694e-07,-1.5165297339214306e-07,-1.5207800534781056e-07,-1.5228596961916032e-07,-1.5225123330426025e-07
0.00653192,6.0330410254582831e-07,1.0478665530762809e-07,-1.3775460887585746e-07,-1.4037545628220647e-07,-1.4109728336892452e-07,-1.4140623851548628e-07,-1.4138722740070672e-07
0.00658255,6.2235919100058726e-07,1.185250010273947e-07,-1.1981306462519595e-07,-1.2199124478922547e-07,-1.2313796389162838e-07,-1.2357427602462501e-07,-1.235744773270849e-07
0.00663318,6.5032586679660004e-07,1.4047700839904071e-07,-9.3104407268027871e-08,-9.505523427624242e-08,-9.6772345471573955e-08,-9.736033329849937e-08,-9.7382001277489299e-08
0.00668382,6.8824365132847735e-07,1.719867610343159e-07,-5.6226943489743025e-08,-5.8244654240552373e-08,-6.068597020481732e-08,-6.1445413286425443e-08,-6.1489265785607478e-08
0.00673445,7.370470901295894e-07,2.1424873377208754e-07,-7.9764892873946114e-09,-1.0420095232674846e-08,-1.3736362181579916e-08,-1.4680923412596991e-08,-1.4746190229862957e-08
0.00678509,7.97521582837238e-07,2.6823671561390758e-07,5.257011156986797e-08,4.9300732141338293e-08,4.4974041341863807e-08,4.383700330769321e-08,4.3752188098442481e-08
0.00683572,8.7024485501278398e-07,3.3462241407946962e-07,1.2596639425136762e-07,1.2146270083429868e-07,1.1601652005635718e-07,1.146846813406731e-07,1.1458269590170283e-07
0.00688636,9.5550963013790776e-07,4.1368074004982636e-07,2.1229992699329098e-07,2.0618162056300457e-07,1.9954215956986523e-07,1.9801582500036292e-07,1.978990282728248e-07
0.00693699,1.0532334892000702e-06,5.0518838741272873e-07,3.1109583699538114e-07,3.030476386984881e-07,2.9517932727483632e-07,2.9345834333827204e-07,2.9332880500491205e-07
